player_name,team,age,matches_played,matches_started,minutes_played,own_goals,goals,assists,shots,shots_on_target,shot_distance,free_kicks,penalty_kicks,pass_attempted,pass_completed,pass_distance,pass_final_third,pass_18_yard,crosses_18_yard,pass_before_shot,corner_kicks,chance_created,shot_creation_actions,goal_creation_actions,blocks,interceptions,aerial_battles_won,aerial_battles_lost,touches_defensive_pen,touches_defensive_third,touches_attacking_pen,touches_attacking_third,yellow_card,yellow_card_2nd,red_card,fouls_commited,fouls_drawn,offsides,penalty_won,penalty_conceded
Brenden Aaronson,Leeds United,22,20,19,1596,0,1,0.11,1.53,0.28,19,0.11,0,31,23.2,293,1.75,0.45,0.11,1.75,1.47,1.92,3.62,0.28,3.38,0.06,0.34,1.19,0.4,4.35,2.49,21.5,0.11,0,0,0.62,2.26,0.17,0,0
Che Adams,Southampton,26,21,18,1577,0,4,0.11,2.06,0.74,14.5,0,0,22.2,14.6,206.9,0.97,0.57,0.11,1.2,0,1.31,2.63,0.29,1.02,0.23,2.97,5.03,1.26,2.97,4.74,17.2,0,0,0,1.77,1.03,0.4,0,0
Tyler Adams,Leeds United,23,19,19,1706,0,0,0,0.11,0,29.4,0,0,57.4,47.1,715.1,4.37,0.63,0,1.21,0,1.26,1.84,0.05,3.6900000000000004,1.42,0.89,0.63,1.53,15.4,0.16,11.3,0.26,0.05,0.05,1.74,1.05,0.05,0,0
Tosin Adarabioyo,Fulham,25,14,12,1095,0,1,0,0.33,0.16,16.4,0,0,48.5,38.9,808.6,2.38,0.16,0,0.08,0,0.08,0.41,0,1.64,1.07,2.13,0.41,9.51,31.6,0.25,1.48,0.16,0,0,0.66,0.25,0,0,0
Nayef Aguerd,West Ham,26,6,5,515,0,0,0,0.88,0,8.9,0,0,39.5,30.9,633.2,1.93,0.35,0,0.18,0,0.18,0.18,0,2.4600000000000004,1.05,1.75,1.05,6.32,26,1.05,1.58,0.53,0,0,0.7,0.7,0.18,0,0
Naouirou Ahamada,Crystal Palace,20,2,0,16,0,0,0,5,0,17.3,0,0,70,50,760,10,0,0,0,0,0,5,0,10,0,0,0,0,10,10,15,0,0,0,0,0,5,0,0
Rayan Aït Nouri,Wolves,21,17,9,913,0.1,1,0,0.99,0.5,14.1,0,0,48.4,39.3,605.8,2.38,1.29,0.5,0.69,0.3,0.69,2.18,0,0.4,0.69,1.29,1.39,3.56,19,2.48,21.5,0.3,0,0,1.09,0.69,0.3,0,0.1
Kristoffer Ajer,Brentford,24,9,9,763,0,0,0,0.12,0,6,0,0,40.6,30.5,527.1,2.35,0.35,0.12,0.12,0,0.12,0.47,0,1.42,0.82,1.76,1.29,5.29,21.6,1.06,7.53,0,0,0,0.59,0.94,0,0,0.12
Manuel Akanji,Manchester City,27,15,14,1286,0,0,0.07,0.77,0.14,16.4,0,0,80.9,76.2,1319.8,5.17,0.07,0.07,0.28,0,0.28,1.26,0,2.66,0.77,0.84,1.4,5.17,32.7,1.4,6.43,0.07,0,0,0.91,0.49,0,0,0
Nathan Aké,Manchester City,27,15,13,1156,0,0,0,0.31,0,10.5,0,0,92,84.2,1384.6,7.58,0.39,0,0.39,0,0.47000000000000003,1.17,0.16,2.04,1.02,1.72,1.33,4.53,31.8,1.56,10.2,0,0,0,0.7,0.7,0.08,0,0
Marc Albrighton,Leicester City,33,6,1,237,0,1,0,0.77,0.38,8,0,0,57.3,34.6,556.5,2.31,1.92,0.77,2.31,2.69,2.69,3.08,0,4.62,0.38,0.38,0.38,2.31,12.7,1.92,30.8,0,0,0,0.77,0.77,0.38,0,0
Thiago Alcántara,Liverpool,31,14,14,1154,0,0,0,0.7,0.08,25.2,0,0,76.6,65.8,1187.3,7.42,1.48,0,1.33,0,1.96,3.05,0.16,2.18,1.41,1.09,1.88,3.2,20.1,0.55,13.1,0.16,0,0,1.41,1.95,0,0,0.08
Carlos Alcaraz,Southampton,20,3,1,134,0,1,0,2.67,0.67,20.1,0,0,32.7,24.7,371.3,1.33,0.67,0,0.67,0,0.67,2,0.67,4,0.67,0,1.33,2,9.33,2.67,15.3,0,0,0,1.33,0.67,0,0,0
Trent Alexander-Arnold,Liverpool,24,20,17,1441,0,1,0.06,1.31,0.19,22.5,0.19,0,88.9,64.9,1236.3,7,3.06,1.06,2.25,3.31,2.81,4,0.31,1.5,1.38,0.69,0.44,3.06,22.4,1.69,26.8,0.19,0,0,0.5,0.19,0.19,0,0
Alisson,Liverpool,30,20,20,1800,0,0,0.05,0,0,0,0,0,37.1,31.8,746.6,0.45,0,0,0.05,0,0.05,0.1,0.05,0.2,0,0.2,0.05,30.6,38.5,0,0,0,0,0,0.05,0.05,0,0,0
Dele Alli,Everton,26,2,0,40,0,0,0,0,0,0,0,0,37.5,30,307.5,5,0,0,0,0,0,0,0,0,0,2.5,5,0,2.5,5,27.5,0,0,0,0,2.5,0,0,0
Miguel Almirón,Newcastle Utd,29,22,22,1816,0,10,0.05,2.33,0.74,16.8,0,0,35.5,29.3,401.3,1.78,1.14,0.1,0.84,0.45,0.84,3.07,0.45,2.2800000000000002,0.35,0.2,0.45,0.79,5.05,4.46,27.9,0.05,0,0,0.69,1.29,0.4,0,0
Julián Álvarez,Manchester City,23,16,5,578,0,4,0,2.97,1.25,15.6,0,0,31.3,24.7,310.5,1.72,0.63,0.16,0.94,0,1.25,2.81,0,2.5,0,0.78,1.72,0.47,2.03,5.63,22.8,0,0,0,1.56,0.78,0.16,0,0
Daniel Amartey,Leicester City,28,17,15,1365,0,0,0,0.2,0.13,25.2,0,0,62.8,57.5,996.8,3.42,0.07,0,0.33,0,0.46,0.92,0.07,2.5,0.53,1.91,1.51,10.5,37.1,0.33,2.63,0.07,0,0,0.46,0.2,0,0,0.07
Joachim Andersen,Crystal Palace,26,17,17,1477,0,1,0,0.67,0.3,11,0,0,63.8,50.9,1207.7,4.15,0.24,0,0.24,0.06,0.3,0.61,0.06,2.08,0.98,2.44,1.1,14.3,44,1.22,2.74,0.18,0,0,0.98,0.67,0,0,0
Elliot Anderson,Newcastle Utd,20,10,0,121,0,0,0,3.08,0.77,12,0,0,54.6,41.5,620.8,5.38,0.77,0,2.31,0.77,2.31,6.92,0,6.16,1.54,3.85,1.54,1.54,13.1,16.9,46.2,0,0,0,1.54,5.38,0.77,0,0
Jaidon Anthony,Bournemouth,23,17,7,783,0,3,0,1.95,1.15,19.9,0.23,0,39.5,28.9,424,1.72,1.49,0.57,0.92,1.26,1.1500000000000001,3.1,0.11,3.67,0.57,0.92,1.03,1.26,10,2.76,24,0.11,0,0,0.69,0.69,0.34,0,0
Michail Antonio,West Ham,32,21,11,1051,0,2,0.17,2.05,0.68,13.8,0,0,17.4,9.06,134.4,0.77,0.43,0.09,0.94,0,1.03,2.39,0.51,1.88,0.26,2.05,3.93,0.85,2.39,4.36,14.4,0.09,0,0,1.45,1.97,0.85,0,0
Antony,Manchester Utd,22,12,11,908,0,3,0,3.27,1.39,20.4,0,0,40.9,31.6,401.8,1.39,0.79,0,0.79,0.1,0.89,2.97,0.1,1.58,0.4,0.3,0.79,0.5,8.02,3.47,28.4,0.3,0,0,0.4,1.29,0.2,0,0
